ISO_3_CODE,COUNTRYNAME,WHO_REGION,YEAR,VACCINECODE,VACCINE_DESCRIPTION,SCHEDULEROUNDS,TARGETPOP,TARGETPOP_DESCRIPTION,GEOAREA,AGEADMINISTERED,SOURCECOMMENT
ATG,Antigua and Barbuda,AMRO,2023,DT,"DT (Tetanus toxoid and diphtheria, children's dose) vaccine",5,B_CHILD_W,General/routine,NATIONAL,Y5,5yrs
ATG,Antigua and Barbuda,AMRO,2023,DTWP,DTwP (Whole cell) vaccine,4,B_2YL_W,General/routine,NATIONAL,M18,M18
ATG,Antigua and Barbuda,AMRO,2023,INFLUENZA_ADULT,Adult seasonal influenza vaccine,1,ADULTS,Adults,NATIONAL,>Y18,and older persons
AUS,Australia,WPRO,2023,PCV13,PCV-13 (Pneumococcal conjugate vaccine 13-valent) vaccine,1,ADULTS,Adults,NATIONAL,>=Y70,<=Y70 given to adults 70 years and over (not including Aboriginal and Torres Strait Islander adults).
AUS,Australia,WPRO,2023,PPV23,PPV-23 (Pneumococcal polysaccharide 23 valent) vaccine,1,ADULTS,Adults,NATIONAL,>=Y50,>=Y50 for Aboriginal and Torres Strait Islander adults (Indigenous adults)
AUS,Australia,WPRO,2023,ZOSTER,Shingles (Herpes zoster for older adults) vaccine,1,ADULTS,Adults,NATIONAL,Y70-Y79,and includes time limited catch up program for 71-79 year olds until 31 Oct. 2023
AUT,Austria,EURO,2023,INFLUENZA_ADULT,Adult seasonal influenza vaccine,1,ADULTS,Adults,NATIONAL,>Y18,and older persons
BDI,Burundi,AFRO,2023,DTWP,DTwP (Whole cell) vaccine,4,B_2YL_W,General/routine,NATIONAL,M18,12-23 mois
BDI,Burundi,AFRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,2,ADULTS,Adults,NATIONAL,+M1,1er contact grossesse - femmes en âge de procrées
BDI,Burundi,AFRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,3,ADULTS,Adults,NATIONAL,+M6,1er contact grossesse - femmes en âge de procrées
BDI,Burundi,AFRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,4,ADULTS,Adults,NATIONAL,+Y1,1er contact grossesse - femmes en âge de procrées
BDI,Burundi,AFRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,5,ADULTS,Adults,NATIONAL,+Y1,1er contact grossesse - femmes en âge de procrées
BDI,Burundi,AFRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,1,ADULTS,Adults,NATIONAL,1st contact,1er contact grossesse - femmes en âge de procrées
BDI,Burundi,AFRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,1,PW,Pregnant women,NATIONAL,1st contact,1er contact grossesse - femmes en âge de procrées
BDI,Burundi,AFRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,5,PW,Pregnant women,NATIONAL,+Y1,1er contact grossesse - femmes en âge de procrées
BDI,Burundi,AFRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,4,PW,Pregnant women,NATIONAL,+Y1,1er contact grossesse - femmes en âge de procrées
BDI,Burundi,AFRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,3,PW,Pregnant women,NATIONAL,+M6,1er contact grossesse - femmes en âge de procrées
BDI,Burundi,AFRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,2,PW,Pregnant women,NATIONAL,+M1,1er contact grossesse - femmes en âge de procrées
BEL,Belgium,EURO,2023,DTAPIPV,DTaP-IPV (acellular) vaccine,5,B_CHILD_W,General/routine,NATIONAL,Y5-Y6,"Y5-Y6 in Wallonia, Y6 in Flanders"
BEL,Belgium,EURO,2023,INFLUENZA_ADULT,Adult seasonal influenza vaccine,1,ADULTS,Adults,NATIONAL,>=Y65,"The guidelines recommend vaccination for those ?65 years of age. This age group takes priority group for receiving influenza vaccine; the guidelines also mention explicitly that, thereafter and depending on the availability of the vaccine, the flu vaccine is useful for healthy persons aged 50 and older."
BEL,Belgium,EURO,2023,PCV20,PCV-20 (Pneumococcal conjugate vaccine 20-valent) vaccine,1,ADULTS,Adults,NATIONAL,Y65,"Different schedule depending on age, risk factors and which vaccines were given in the past. Please find the guidelines here: https://www.health.belgium.be/sites/default/files/uploads/fields/fpshealth_theme_file/20220908_css-9674_pneumo_vweb.pdf"
BEL,Belgium,EURO,2023,PPV23,PPV-23 (Pneumococcal polysaccharide 23 valent) vaccine,1,ADULTS,Adults,NATIONAL,Y65,"Different schedule depending on age, risk factors and which vaccines were given in the past. Please find the guidelines here: https://www.health.belgium.be/sites/default/files/uploads/fields/fpshealth_theme_file/20220908_css-9674_pneumo_vweb.pdf"
BEL,Belgium,EURO,2023,TDAP_S,"Tdap (Tetanus, diphtheria for older children and adults and acellular pertussis) vaccine",1,ADULTS,Adults,NATIONAL,Y25,Adults Y25 and booster every 10 years after that. Pregnant women (each pregnancy) and their close environment (cocoon vaccination)
BEL,Belgium,EURO,2023,TDAP_S,"Tdap (Tetanus, diphtheria for older children and adults and acellular pertussis) vaccine",2,ADULTS,Adults,NATIONAL,+Y10,Adults Y25 and booster every 10 years after that. Pregnant women (each pregnancy) and their close environment (cocoon vaccination)
BEL,Belgium,EURO,2023,TDAP_S,"Tdap (Tetanus, diphtheria for older children and adults and acellular pertussis) vaccine",3,ADULTS,Adults,NATIONAL,+Y10,Adults Y25 and booster every 10 years after that. Pregnant women (each pregnancy) and their close environment (cocoon vaccination)
BEL,Belgium,EURO,2023,TDAP_S,"Tdap (Tetanus, diphtheria for older children and adults and acellular pertussis) vaccine",4,ADULTS,Adults,NATIONAL,+Y10,Adults Y25 and booster every 10 years after that. Pregnant women (each pregnancy) and their close environment (cocoon vaccination)
BEL,Belgium,EURO,2023,TDAP_S,"Tdap (Tetanus, diphtheria for older children and adults and acellular pertussis) vaccine",5,ADULTS,Adults,NATIONAL,+Y10,Adults Y25 and booster every 10 years after that. Pregnant women (each pregnancy) and their close environment (cocoon vaccination)
BEL,Belgium,EURO,2023,TDAP_S,"Tdap (Tetanus, diphtheria for older children and adults and acellular pertussis) vaccine",6,ADULTS,Adults,NATIONAL,+Y10,Adults Y25 and booster every 10 years after that. Pregnant women (each pregnancy) and their close environment (cocoon vaccination)
BEL,Belgium,EURO,2023,TDAP_S,"Tdap (Tetanus, diphtheria for older children and adults and acellular pertussis) vaccine",6,B_ADO_W,General/routine,NATIONAL,Y14-Y16,Y14 in Flanders and Y15-Y16 in Wallonia
BEN,Benin,AFRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,1,PW,Pregnant women,NATIONAL,1st contact,femmes enceintes
BEN,Benin,AFRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,2,PW,Pregnant women,NATIONAL,+M1,femmes enceintes
BEN,Benin,AFRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,3,PW,Pregnant women,NATIONAL,+M6,femmes enceintes
BEN,Benin,AFRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,4,PW,Pregnant women,NATIONAL,+Y1,femmes enceintes
BEN,Benin,AFRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,5,PW,Pregnant women,NATIONAL,+Y1,femmes enceintes
BFA,Burkina Faso,AFRO,2023,HPV4,HPV-4 (Human Papilloma Virus 4-valent) vaccine,1,FEMALE,HPV for females only,NATIONAL,Y9,Filles de 9 ans
BFA,Burkina Faso,AFRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,1,ADULTS,Adults,NATIONAL,1st contact,1er contact grossesse - femmes enceintes et femmes en âge de reproduction
BFA,Burkina Faso,AFRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,2,ADULTS,Adults,NATIONAL,+M1,1er contact grossesse - femmes enceintes et femmes en âge de reproduction
BFA,Burkina Faso,AFRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,3,ADULTS,Adults,NATIONAL,+M6,1er contact grossesse - femmes enceintes et femmes en âge de reproduction
BFA,Burkina Faso,AFRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,5,ADULTS,Adults,NATIONAL,+Y2,1er contact grossesse - femmes enceintes et femmes en âge de reproduction
BFA,Burkina Faso,AFRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,4,ADULTS,Adults,NATIONAL,+Y1,1er contact grossesse - femmes enceintes et femmes en âge de reproduction
BFA,Burkina Faso,AFRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,2,PW,Pregnant women,NATIONAL,+M1,1er contact grossesse - femmes enceintes et femmes en âge de reproduction
BFA,Burkina Faso,AFRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,1,PW,Pregnant women,NATIONAL,1st contact,1er contact grossesse - femmes enceintes et femmes en âge de reproduction
BFA,Burkina Faso,AFRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,3,PW,Pregnant women,NATIONAL,+M6,1er contact grossesse - femmes enceintes et femmes en âge de reproduction
BFA,Burkina Faso,AFRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,4,PW,Pregnant women,NATIONAL,+Y1,1er contact grossesse - femmes enceintes et femmes en âge de reproduction
BFA,Burkina Faso,AFRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,5,PW,Pregnant women,NATIONAL,+Y2,1er contact grossesse - femmes enceintes et femmes en âge de reproduction
BGD,Bangladesh,SEARO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,5,ADULTS,Adults,NATIONAL,+Y1,Recommended from 15-49 years of age (WCBA) and all pregnant women without previous Td vaccination receive two doses of Td vaccine in one month interval
BGD,Bangladesh,SEARO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,3,ADULTS,Adults,NATIONAL,+M6,Recommended from 15-49 years of age (WCBA) and all pregnant women without previous Td vaccination receive two doses of Td vaccine in one month interval
BGD,Bangladesh,SEARO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,4,ADULTS,Adults,NATIONAL,+Y1,Recommended from 15-49 years of age (WCBA) and all pregnant women without previous Td vaccination receive two doses of Td vaccine in one month interval
BGD,Bangladesh,SEARO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,1,ADULTS,Adults,NATIONAL,Y15-Y49,Recommended from 15-49 years of age (WCBA) and all pregnant women without previous Td vaccination receive two doses of Td vaccine in one month interval
BGD,Bangladesh,SEARO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,2,ADULTS,Adults,NATIONAL,+M1,Recommended from 15-49 years of age (WCBA) and all pregnant women without previous Td vaccination receive two doses of Td vaccine in one month interval
BGD,Bangladesh,SEARO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,2,PW,Pregnant women,NATIONAL,+M1,Recommended from 15-49 years of age (WCBA) and all pregnant women without previous Td vaccination receive two doses of Td vaccine in one month interval
BGD,Bangladesh,SEARO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,1,PW,Pregnant women,NATIONAL,1st contact,Recommended from 15-49 years of age (WCBA) and all pregnant women without previous Td vaccination receive two doses of Td vaccine in one month interval
BGR,Bulgaria,EURO,2023,HPV9,HPV-9 (Human Papilloma Virus 9-valent) vaccine,1,FEMALE,HPV for females only,NATIONAL,Y10-Y13,9 valent vaccine administered; females only aged 10-13 years in line with National program for primary prophylaxis of cervical cancer 2021-2024
BGR,Bulgaria,EURO,2023,HPV9,HPV-9 (Human Papilloma Virus 9-valent) vaccine,2,FEMALE,HPV for females only,NATIONAL,+M6,9 valent vaccine administered; females only aged 10-13 years in line with National program for primary prophylaxis of cervical cancer 2021-2024
BGR,Bulgaria,EURO,2023,INFLUENZA_ADULT,Adult seasonal influenza vaccine,1,ADULTS,Adults,NATIONAL,>Y18,and older persons >65 years
BHR,Bahrain,EMRO,2023,DTAPIPV,DTaP-IPV (acellular) vaccine,5,B_CHILD_W,General/routine,NATIONAL,Y4-Y5,Routine childhood vaccine  given to hildren at age of 4-5 years (preschool entry)
BHR,Bahrain,EMRO,2023,DTWPHIBHEPB,DTwP-Hib-HepB (Whole cell) vaccine,4,B_2YL_W,General/routine,NATIONAL,M18,Routine childhood vaccine given at age of 6 months and at the age of 18 months
BHR,Bahrain,EMRO,2023,PCV13,PCV-13 (Pneumococcal conjugate vaccine 13-valent) vaccine,1,ADULTS,Adults,NATIONAL,>=Y50,"Routine childhood vaccine given at 2 months, 4 months of age and the last dose (booster) at 15 months. Additional dose is given at 6 months of age for certain high risk groups. A single dose for adults at age of >=50 years and for high risk groups at age 5-50 years if unvaccinated before."
BHR,Bahrain,EMRO,2023,PPV23,PPV-23 (Pneumococcal polysaccharide 23 valent) vaccine,1,ADULTS,Adults,NATIONAL,>=Y65,"Routine vaccine for those at age of 65 years and above.  Also, given to high risk groups from age of 2 years and above as a single dose and for certain risk categories revaccination dose given after 5 years."
BHR,Bahrain,EMRO,2023,TDAP_S,"Tdap (Tetanus, diphtheria for older children and adults and acellular pertussis) vaccine",1,ADULTS,Adults,NATIONAL,>Y65,Others at-risk persons
BHR,Bahrain,EMRO,2023,TDAP_S,"Tdap (Tetanus, diphtheria for older children and adults and acellular pertussis) vaccine",6,B_ADO_W,General/routine,NATIONAL,Y13,Students at schools
BHS,Bahamas,AMRO,2023,INFLUENZA_ADULT,Adult seasonal influenza vaccine,1,ADULTS,Adults,NATIONAL,>Y18,and older persons
BHS,Bahamas,AMRO,2023,PPV23,PPV-23 (Pneumococcal polysaccharide 23 valent) vaccine,1,ADULTS,Adults,SUBNATIONAL,1st contact,Adults 50years and older with chronic conditions; children with sickle cell disease and elderly clients 65 years and older
BHS,Bahamas,AMRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,1,ADULTS,Adults,NATIONAL,+Y10,Every 10 years
BHS,Bahamas,AMRO,2023,TDAP_S,"Tdap (Tetanus, diphtheria for older children and adults and acellular pertussis) vaccine",6,B_ADO_W,General/routine,NATIONAL,Y12,and at 1st contact for antenatal women
BLR,Belarus,EURO,2023,DT,"DT (Tetanus toxoid and diphtheria, children's dose) vaccine",1,B_CHILD_W,General/routine,NATIONAL,Y6,??????????? ????? ??? ?????????? ????? ? ???????? 6 ??? ?? ???? ? ???-?
BLR,Belarus,EURO,2023,INFLUENZA_ADULT,Adult seasonal influenza vaccine,1,ADULTS,Adults,NATIONAL,>Y18,and older persons >=65 years
BLZ,Belize,AMRO,2023,DTWP,DTwP (Whole cell) vaccine,4,B_2YL_W,General/routine,NATIONAL,M18,Children 18 months and 48 months
BLZ,Belize,AMRO,2023,DTWP,DTwP (Whole cell) vaccine,5,B_CHILD_W,General/routine,NATIONAL,Y4,Children 18 months and 48 months
BLZ,Belize,AMRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,6,B_ADO_W,General/routine,NATIONAL,Y12,Children in Std 6 (age 12) given a booster dose
BMU,Bermuda,AMRO,2023,INFLUENZA_ADULT,Adult seasonal influenza vaccine,1,ADULTS,Adults,NATIONAL,>Y18,and older persons 65+
BMU,Bermuda,AMRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,1,ADULTS,Adults,NATIONAL,>=Y19,"Every 10 years to travellers, occupational hazard workers, adults"
BMU,Bermuda,AMRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,2,ADULTS,Adults,NATIONAL,+Y10,"Every 10 years to travellers, occupational hazard workers, adults"
BMU,Bermuda,AMRO,2023,TDAP_S,"Tdap (Tetanus, diphtheria for older children and adults and acellular pertussis) vaccine",1,PW,Pregnant women,NATIONAL,1st contact,1st contact pregnancy
BOL,Bolivia (Plurinational State of),AMRO,2023,DTWPHIBHEPB,DTwP-Hib-HepB (Whole cell) vaccine,4,B_2YL_W,General/routine,NATIONAL,M18-M23,Menores de 5 año
BOL,Bolivia (Plurinational State of),AMRO,2023,DTWPHIBHEPB,DTwP-Hib-HepB (Whole cell) vaccine,5,B_CHILD_W,General/routine,NATIONAL,Y4,Menores de 5 año
BOL,Bolivia (Plurinational State of),AMRO,2023,HPV4,HPV-4 (Human Papilloma Virus 4-valent) vaccine,1,FEMALE,HPV for females only,NATIONAL,Y10,"A niñas de 10 años, con dosis única"
BOL,Bolivia (Plurinational State of),AMRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,1,ADULTS,Adults,NATIONAL,1st contact,"De 07 a 49 años hombres y mujeres, incluye embarazadas"
BOL,Bolivia (Plurinational State of),AMRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,2,ADULTS,Adults,NATIONAL,+M1,"De 07 a 49 años hombres y mujeres, incluye embarazadas"
BOL,Bolivia (Plurinational State of),AMRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,3,ADULTS,Adults,NATIONAL,+M6,"De 07 a 49 años hombres y mujeres, incluye embarazadas"
BOL,Bolivia (Plurinational State of),AMRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,4,ADULTS,Adults,NATIONAL,+Y1,"De 07 a 49 años hombres y mujeres, incluye embarazadas"
BOL,Bolivia (Plurinational State of),AMRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,5,ADULTS,Adults,NATIONAL,+Y1,"De 07 a 49 años hombres y mujeres, incluye embarazadas"
BOL,Bolivia (Plurinational State of),AMRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,1,PW,Pregnant women,NATIONAL,1st contact,"De 07 a 49 años hombres y mujeres, incluye embarazadas"
BOL,Bolivia (Plurinational State of),AMRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,3,PW,Pregnant women,NATIONAL,+M6,"De 07 a 49 años hombres y mujeres, incluye embarazadas"
BOL,Bolivia (Plurinational State of),AMRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,2,PW,Pregnant women,NATIONAL,+M1,"De 07 a 49 años hombres y mujeres, incluye embarazadas"
BOL,Bolivia (Plurinational State of),AMRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,4,PW,Pregnant women,NATIONAL,+Y1,"De 07 a 49 años hombres y mujeres, incluye embarazadas"
BOL,Bolivia (Plurinational State of),AMRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,5,PW,Pregnant women,NATIONAL,+Y1,"De 07 a 49 años hombres y mujeres, incluye embarazadas"
BRN,Brunei Darussalam,WPRO,2023,HPV9,HPV-9 (Human Papilloma Virus 9-valent) vaccine,1,FEMALE,HPV for females only,NATIONAL,Y13,females; in school year 7
